,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
social security,society,sustainingCommunitiesEthicalResponsibility,,1,,,Google Ads Keyword Planner,,
glass bottle,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
frequently recycled,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
frequently recycled,economy,,,1,,,Google Ads Keyword Planner,,
recycled plastic,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
recycled plastic,economy,,,1,,,Google Ads Keyword Planner,,
high recycled content,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
high recycled content,economy,,,1,,,Google Ads Keyword Planner,,
reusable bottle,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
refillable canteen,environment,generalEnvAspect,,1,,,Google Ads Keyword Planner,,
,,,,,,,,,
