,,,,,,,,,
,,,,,,,,,
,,,Sustainability Context,,,,Term Source(s),,
,Sustainability Category,,Positive,,Negative,User-dependant,,,
Term,level 0 ,level 1,Certificate,PosLabel,NegLabel,,source1,source2,source3
Higg index Materials,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
Oeko-Tex,health,,1,,,,Amazon Climate Pledge,,
Oeko-Tex,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
Organic Content Standard 100,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
USDA,health,,1,,,,Amazon Climate Pledge,,
USDA,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
U.S. EPA,environment,generalEnvAspect,1,,,,Amazon Climate Pledge,,
 allergen nuts,health,,,,,1,ASSET,,
allergen soybeans and products thereof,health,,,,,1,ASSET,,
allergens celery and products thereof,health,,,,,1,ASSET,,
allergens crustaceans and products thereof,health,,,,,1,ASSET,,
allergens eggs and products thereof,health,,,,,1,ASSET,,
 allergens fish and products thereof,health,,,,,1,ASSET,,
allergens gluten,health,,,,,1,ASSET,,
allergens lupine and products thereof,health,,,,,1,ASSET,,
allergens mollusks and products thereof,health,,,,,1,ASSET,,
allergens mustard seeds and products thereof,health,,,,,1,ASSET,,
allergens peanuts and products thereof,health,,,,,1,ASSET,,
allergens sesame seeds and products thereof,health,,,,,1,ASSET,,
contains gluten,health,,,,,1,ASSET,,
contains milk,health,,,,,1,ASSET,,
contains milk,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
high fat ,health,,,,,1,ASSET,,
high saturated fats,health,,,,,1,ASSET,,
low saturated fats,health,,,,,1,ASSET,,
medium saturated fats,health,,,,,1,ASSET,,
contains salt,health,,,,,1,ASSET,,
high salt,health,,,,,1,ASSET,,
high sugars,health,,,,,1,ASSET,,
contains animal product,health,,,,,1,ASSET,,
contains animal product,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains chicken,health,,,,,1,ASSET,,
contains chicken,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains egg,health,,,,,1,ASSET,,
contains egg,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains fish,health,,,,,1,ASSET,,
contains fish,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains meat,health,,,,,1,ASSET,,
contains meat,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains tuna,health,,,,,1,ASSET,,
contains tuna,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
contains turkey,health,,,,,1,ASSET,,
contains turkey,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
 antioxidants,health,,,1,,,ASSET,,
 cholesterol free,health,,,,,1,ASSET,,
egg barn,health,,,,,1,ASSET,,
egg barn,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
egg barn,environment,generalEnvAspect,,1,,,ASSET,,
egg enriched cages,society,sustainingCommunitiesEthicalResponsibility,,,1,,ASSET,,
egg enriched cages,environment,animalWelfare,,,1,,ASSET,,
egg enriched cages,health,,,,,1,,,
egg free range,health,,,,,1,ASSET,,
egg free range,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
egg free range,environment,generalEnvAspect,,1,,,ASSET,,
 egg organic,health,,,,,1,ASSET,,
 egg organic,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
 egg organic,environment,generalEnvAspect,,1,,,ASSET,,
fresh made in store,health,,,1,,,ASSET,,
fresh made in store,society,sustainingCommunitiesEthicalResponsibility,,1,,,ASSET,,
fresh made in store,environment,carbonEmission,,1,,,ASSET,,
fresh made in store,economy,,,1,,,ASSET,,
fresh short shelf life,economy,,,1,,,ASSET,,
